PID,trial_no,outcome,delay,choice,rt,age,gender
5,54,1,2,1,0.733695459,19,female
5,57,1,2,0,0.746551569,19,female
5,64,0,2,0,0.838095359,19,female
5,65,0,2,1,0.708653694,19,female
5,70,0,2,1,1.266354954,19,female
5,1,0,5,1,19.55394145,19,female
5,4,0,5,1,1.360247003,19,female
5,9,1,5,1,3.590569348,19,female
5,17,1,5,1,1.322154422,19,female
5,27,1,5,0,0.930243496,19,female
5,34,1,5,1,1.383731411,19,female
5,35,0,5,0,0.72557179,19,female
5,45,0,5,1,1.084308832,19,female
5,51,0,5,1,1.147072781,19,female
5,61,1,5,1,0.882690256,19,female
5,6,1,10,1,1.68391833,19,female
5,8,1,10,1,1.025932285,19,female
5,19,0,10,1,1.267645153,19,female
5,20,0,10,0,1.840460523,19,female
5,24,1,10,0,1.680249684,19,female
5,28,1,10,1,2.839897231,19,female
5,38,1,10,1,1.196542,19,female
5,40,0,10,0,0.962493049,19,female
5,49,0,10,1,0.942562879,19,female
5,56,0,10,0,1.147759841,19,female
5,3,0,20,0,2.546802485,19,female
5,7,1,20,0,1.860116595,19,female
5,33,1,20,1,1.904311814,19,female
5,39,1,20,1,1.094377157,19,female
5,41,1,20,1,0.918301754,19,female
5,42,1,20,1,0.984287882,19,female
5,44,0,20,1,1.41459477,19,female
5,52,0,20,1,48.07853855,19,female
5,59,0,20,1,1.862583792,19,female
5,60,0,20,1,1.880538213,19,female
5,12,1,40,1,1.778702411,19,female
5,31,0,40,1,1.630289622,19,female
5,36,1,40,1,1.157905747,19,female
5,37,0,40,1,1.872240365,19,female
5,43,0,40,1,1.984041554,19,female
5,47,1,40,1,1.000576575,19,female
5,55,1,40,1,1.381832941,19,female
5,62,1,40,1,1.084395771,19,female
5,63,0,40,1,0.88810372,19,female
5,69,0,40,1,1.274924486,19,female
5,13,1,80,1,1.534133535,19,female
5,14,1,80,1,1.600304105,19,female
5,15,0,80,0,1.544432491,19,female
5,21,0,80,1,1.401793601,19,female
5,23,1,80,1,1.367788361,19,female
5,25,0,80,0,3.272526418,19,female
5,50,0,80,1,1.052385601,19,female
5,58,1,80,1,1.44676463,19,female
5,66,1,80,1,1.474367775,19,female
5,67,0,80,1,1.691925778,19,female
6,16,1,1,0,1.915707771,17,female
6,17,1,1,0,1.444041144,17,female
6,20,0,1,1,0.88987933,17,female
6,38,0,1,1,1.578324528,17,female
6,47,1,1,1,1.099772207,17,female
6,53,1,1,1,1.324400649,17,female
6,54,1,1,1,1.33647944,17,female
6,56,0,1,1,1.293873273,17,female
6,58,0,1,1,1.412559853,17,female
6,69,0,1,1,1.058622269,17,female
6,10,0,2,1,1.635781271,17,female
6,12,0,2,1,1.08021032,17,female
6,22,1,2,1,1.45940611,17,female
6,25,1,2,1,1.958597094,17,female
6,34,0,2,1,1.74420995,17,female
6,41,0,2,1,0.8899874,17,female
6,43,1,2,1,0.991951196,17,female
6,55,0,2,1,1.05389828,17,female
6,63,1,2,1,1.224607612,17,female
6,68,1,2,1,1.291884845,17,female
6,2,0,5,0,5.710832906,17,female
6,6,1,5,1,2.285972386,17,female
6,7,0,5,1,2.001884585,17,female
6,30,0,5,1,1.198556691,17,female
6,31,0,5,1,1.916409925,17,female
6,46,1,5,1,1.077938736,17,female
6,50,1,5,1,1.850663786,17,female
6,59,1,5,1,1.274182788,17,female
6,65,1,5,1,1.637566238,17,female
6,66,0,5,1,1.044099224,17,female
6,11,1,10,1,1.506062489,17,female
6,14,0,10,1,1.59517591,17,female
6,15,0,10,1,1.281600378,17,female
6,19,1,10,1,1.760330501,17,female
6,23,1,10,1,1.522275412,17,female
6,32,1,10,1,1.327918058,17,female
6,33,1,10,1,1.298236828,17,female
6,42,0,10,1,1.152546016,17,female
6,51,0,10,1,1.074351897,17,female
6,61,0,10,1,1.546474954,17,female
6,1,0,20,1,7.266639015,17,female
6,3,1,20,1,2.171590495,17,female
6,8,1,20,1,2.213945505,17,female
6,26,1,20,1,0.994059769,17,female
6,27,0,20,1,1.158082342,17,female
6,28,0,20,1,1.170046422,17,female
6,35,0,20,1,1.516103344,17,female
6,36,1,20,1,1.187996919,17,female
6,52,0,20,1,1.222427193,17,female
6,64,1,20,1,1.34674368,17,female
6,4,0,40,1,6.136900309,17,female
6,9,0,40,1,2.284177155,17,female
6,13,0,40,1,1.207866715,17,female
6,21,0,40,1,1.559856019,17,female
6,29,0,40,1,1.56465759,17,female
6,37,1,40,1,2.566009372,17,female
6,39,1,40,1,1.1078998,17,female
6,48,1,40,1,1.530611296,17,female
6,57,1,40,1,1.184470152,17,female
6,67,1,40,1,1.092388426,17,female
6,5,1,80,1,3.92049606,17,female
6,18,0,80,1,1.518184145,17,female
6,24,1,80,1,1.531823009,17,female
6,40,0,80,0,1.766676447,17,female
6,44,0,80,1,1.554454328,17,female
6,45,1,80,1,1.450618324,17,female
6,49,1,80,1,1.558630119,17,female
6,60,1,80,1,3.518430472,17,female
6,62,0,80,1,1.435971511,17,female
6,70,0,80,1,1.214625622,17,female
7,18,1,1,0,2.824046855,18,male
7,24,1,1,1,1.630785597,18,male
7,27,0,1,0,2.810195474,18,male
7,28,0,1,1,44.47779462,18,male
7,49,0,1,1,0.412776296,18,male
7,52,1,1,1,1.538567426,18,male
7,57,1,1,0,1.826677063,18,male
7,66,1,1,0,1.592839423,18,male
7,68,0,1,0,1.894481364,18,male
7,70,0,1,0,1.962929556,18,male
7,10,1,2,0,2.552242514,18,male
