PID,trial_no,trial_type,choice,delay,age,gender
19661,98,win,1,10,18,female
19661,99,win,0,1,18,female
19661,100,win,1,1,18,female
19661,101,win,1,10,18,female
19661,102,win,1,1,18,female
19661,103,win,0,10,18,female
19661,104,win,1,10,18,female
19661,105,win,1,10,18,female
19661,106,win,0,20,18,female
19661,107,win,1,20,18,female
19661,108,win,1,5,18,female
19661,109,win,1,40,18,female
19661,110,win,1,10,18,female
19661,111,win,1,40,18,female
19661,112,win,1,10,18,female
19661,113,win,1,5,18,female
19661,114,win,1,20,18,female
19661,115,win,0,80,18,female
19661,116,win,1,5,18,female
19661,117,win,1,5,18,female
19661,118,win,1,1,18,female
19661,119,win,1,20,18,female
19661,120,win,1,1,18,female
19661,121,win,1,80,18,female
19661,122,win,1,10,18,female
19661,123,win,1,40,18,female
19661,124,win,1,2,18,female
19661,125,win,1,2,18,female
19661,126,win,1,5,18,female
20359,8,win,0,1,19,male
20359,13,win,1,1,19,male
20359,14,win,1,1,19,male
20359,16,win,1,1,19,male
20359,17,win,1,1,19,male
20359,18,win,1,1,19,male
20359,20,win,0,1,19,male
20359,24,win,0,1,19,male
20359,30,win,1,1,19,male
20359,48,win,1,1,19,male
20359,10,win,1,2,19,male
20359,21,win,0,2,19,male
20359,26,win,0,2,19,male
20359,33,win,1,2,19,male
20359,39,win,1,2,19,male
20359,40,win,1,2,19,male
20359,41,win,0,2,19,male
20359,43,win,1,2,19,male
20359,54,win,1,2,19,male
20359,63,win,1,2,19,male
20359,7,win,0,5,19,male
20359,35,win,1,5,19,male
20359,36,win,0,5,19,male
20359,44,win,1,5,19,male
20359,45,win,0,5,19,male
20359,53,win,1,5,19,male
20359,56,win,0,5,19,male
20359,58,win,1,5,19,male
20359,61,win,0,5,19,male
20359,62,win,1,5,19,male
20359,19,win,0,10,19,male
20359,28,win,0,10,19,male
20359,29,win,1,10,19,male
20359,31,win,0,10,19,male
20359,32,win,1,10,19,male
20359,34,win,1,10,19,male
20359,37,win,1,10,19,male
20359,46,win,0,10,19,male
20359,55,win,1,10,19,male
20359,65,win,0,10,19,male
20359,12,win,1,20,19,male
